gold_code,000,101,103,105,106,107,109,201,202,305,401,408,409,410,412,503,504,506,601,607,704
104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
403,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
501,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
601,0,1,0,0,5,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1
607,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
701,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
